ORDERDATE,MONTH,YEAR
2018-02-24,2,2018
2018-05-07,5,2018
2018-07-01,7,2018
2018-08-25,8,2018
2018-10-28,10,2018
2018-11-11,11,2018
2018-11-18,11,2018
2019-01-15,1,2019
2019-02-20,2,2019
2019-04-05,4,2019
2019-05-18,5,2019
2019-06-28,6,2019
2019-07-23,7,2019
2019-08-27,8,2019
2019-09-30,9,2019
2019-10-15,10,2019
2019-11-02,11,2019
2019-11-15,11,2019
2019-11-24,11,2019
2019-12-17,12,2019
2020-02-03,2,2020
2020-03-03,3,2020
2020-04-08,4,2020
2020-05-13,5,2020
2018-01-29,1,2018
2018-03-24,3,2018
2018-05-28,5,2018
2018-07-24,7,2018
2018-09-19,9,2018
2018-10-20,10,2018
2018-11-06,11,2018
2018-11-13,11,2018
2018-11-25,11,2018
2018-12-05,12,2018
2019-01-29,1,2019
2019-03-10,3,2019
2019-05-04,5,2019
2019-06-15,6,2019
2019-07-19,7,2019
2019-08-17,8,2019
2019-09-08,9,2019
2019-10-11,10,2019
2019-10-21,10,2019
2019-11-04,11,2019
2019-11-29,11,2019
2019-12-10,12,2019
2020-01-20,1,2020
2020-03-09,3,2020
2020-05-01,5,2020
2020-05-31,5,2020
2018-04-29,4,2018
2019-01-12,1,2019
2019-04-03,4,2019
2019-09-27,9,2019
2019-11-23,11,2019
2020-02-02,2,2020
2020-04-07,4,2020
2020-01-05,1,2020
2018-02-11,2,2018
2018-04-28,4,2018
2018-06-12,6,2018
2018-08-10,8,2018
2018-10-06,10,2018
2018-10-23,10,2018
2018-11-08,11,2018
2018-11-14,11,2018
2018-11-26,11,2018
2019-02-19,2,2019
2019-05-07,5,2019
2019-06-17,6,2019
2019-07-21,7,2019
2019-08-20,8,2019
2019-09-10,9,2019
2019-10-14,10,2019
2019-11-01,11,2019
2019-11-05,11,2019
2019-11-21,11,2019
2019-12-02,12,2019
2019-12-15,12,2019
2020-01-31,1,2020
2020-03-17,3,2020
2020-04-01,4,2020
2020-05-06,5,2020
2018-04-01,4,2018
2018-10-21,10,2018
2018-12-09,12,2018
2019-02-04,2,2019
2019-03-11,3,2019
2019-08-19,8,2019
2019-10-13,10,2019
2019-10-22,10,2019
2019-11-19,11,2019
2018-03-03,3,2018
2018-05-08,5,2018
2018-07-02,7,2018
2018-09-05,9,2018
2018-11-04,11,2018
2018-11-12,11,2018
2018-11-20,11,2018
2018-12-02,12,2018
2019-02-22,2,2019
2019-04-09,4,2019
2019-06-01,6,2019
2019-07-06,7,2019
2019-08-02,8,2019
2019-08-30,8,2019
2018-10-04,10,2018
2019-10-16,10,2019
2019-11-03,11,2019
2020-01-06,1,2020
2020-05-17,5,2020
2018-04-16,4,2018
2018-06-03,6,2018
2018-08-08,8,2018
2018-09-28,9,2018
2018-10-22,10,2018
2019-01-02,1,2019
2019-02-12,2,2019
2019-03-19,3,2019
2019-05-05,5,2019
2019-07-20,7,2019
2019-09-09,9,2019
2019-11-20,11,2019
2020-01-23,1,2020
2020-02-17,2,2020
2020-05-05,5,2020
2018-03-26,3,2018
2019-02-02,2,2019
2019-02-21,2,2019
2018-01-31,1,2018
2019-03-15,3,2019
2020-01-26,1,2020
2019-01-16,1,2019
2020-02-08,2,2020
2019-12-01,12,2019
2020-03-23,3,2020
2020-02-09,2,2020
2018-04-04,4,2018
2018-08-01,8,2018
2018-09-21,9,2018
2019-02-10,2,2019
2020-05-03,5,2020
2019-04-12,4,2019
2019-08-04,8,2019
2020-04-14,4,2020
2018-03-10,3,2018
2018-07-04,7,2018
2018-09-11,9,2018
2018-10-17,10,2018
2018-11-05,11,2018
2019-04-13,4,2019
2019-08-06,8,2019
2018-10-05,10,2018
2019-11-17,11,2019
2019-12-09,12,2019
2020-01-07,1,2020
2020-03-04,3,2020
2020-04-15,4,2020
2018-01-10,1,2018
2018-05-21,5,2018
2018-07-16,7,2018
2018-09-12,9,2018
2018-11-21,11,2018
2018-12-03,12,2018
2019-03-02,3,2019
2019-04-29,4,2019
2019-06-08,6,2019
2019-09-03,9,2019
2020-02-16,2,2020
2020-05-30,5,2020
2018-03-18,3,2018
2018-05-20,5,2018
2018-07-10,7,2018
2019-02-26,2,2019
2019-09-01,9,2019
2020-01-12,1,2020
2020-02-10,2,2020
2020-04-22,4,2020
2018-02-17,2,2018
2018-06-16,6,2018
2018-11-27,11,2018
2019-05-11,5,2019
2019-06-24,6,2019
2019-08-21,8,2019
2019-09-15,9,2019
2019-11-10,11,2019
2019-11-22,11,2019
2019-12-03,12,2019
2020-03-01,3,2020
2020-03-30,3,2020
2020-05-10,5,2020
2018-01-06,1,2018
2019-01-26,1,2019
2019-11-25,11,2019
2020-05-29,5,2020
2020-01-10,1,2020
2019-10-06,10,2019
2020-02-22,2,2020
2018-01-09,1,2018
2019-04-26,4,2019
2020-04-23,4,2020
2018-06-27,6,2018
2019-04-02,4,2019
2019-09-16,9,2019
2019-12-04,12,2019
2020-04-03,4,2020
2019-06-04,6,2019
2019-06-14,6,2019
2019-07-16,7,2019
2020-03-10,3,2020
2018-06-06,6,2018
2018-11-07,11,2018
2019-02-18,2,2019
2019-03-20,3,2019
2020-03-15,3,2020
2019-11-09,11,2019
2019-05-26,5,2019
2019-07-02,7,2019
2019-09-07,9,2019
2019-11-16,11,2019
2019-12-07,12,2019
2018-09-03,9,2018
2019-06-30,6,2019
2019-08-28,8,2019
2019-05-08,5,2019
2019-11-12,11,2019
2020-05-09,5,2020
2018-09-25,9,2018
2019-01-22,1,2019
2019-10-29,10,2019
2019-07-07,7,2019
2019-08-09,8,2019
2018-10-10,10,2018
2018-11-19,11,2018
2020-01-19,1,2020
2018-10-02,10,2018
2019-03-29,3,2019
2020-02-28,2,2020
2019-04-20,4,2019
2020-03-02,3,2020
2018-04-11,4,2018
2018-08-13,8,2018
2018-10-08,10,2018
2018-12-01,12,2018
2020-03-28,3,2020
2018-04-21,4,2018
